Iteration,CPU,Memory
1,66.62,14.995
2,66.62,14.995
3,66.62,14.995
4,66.62,14.995
5,66.62,14.995
6,66.62,14.995
7,66.62,14.995
8,66.62,14.995
9,66.62,14.995
10,66.62,14.995
11,66.62,14.995
12,66.62,14.995
13,66.62,14.995
14,66.62,14.995
15,66.62,14.995
16,66.62,14.995
17,66.62,14.995
18,66.62,14.995
19,66.62,14.995
20,66.62,14.995
21,66.63,14.995
22,66.63,14.995
23,66.64,14.995
24,66.65,14.995
25,66.67,14.995
26,66.7,14.995
27,66.74,14.995
28,66.81,14.995
29,66.93,14.995
30,67.12,14.995
31,67.43,14.995
32,67.93,14.995
33,68.74,14.995
34,70.06,14.995
35,72.18,14.995
36,75.62,14.995
37,81.18,14.995
38,90.17,14.995
39,104.73,14.995
40,128.31,14.995
